,FECHA,DESCRIPCION,SALDO,CREDIT/DEBIT,MONEDA
0,2023-01-03,POS PURCHASE SAV PUR RF#055604 INVERSIONES EL HOR T CARACAS VE 12312 2 6380,17457.24000000002,-15.61,USD
1,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17168.90000000002,-0.19,USD
2,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17169.09000000002,-0.04,USD
3,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17169.13000000002,-0.23,USD
4,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17169.36000000002,-0.05,USD
5,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17169.410000000018,-0.19,USD
6,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17169.600000000017,-0.04,USD
7,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17169.640000000018,-0.44,USD
8,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17170.080000000016,-0.1,USD
9,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17170.180000000015,-0.44,USD
10,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17170.620000000014,-0.1,USD
11,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17170.720000000012,-0.44,USD
12,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17171.16000000001,-0.1,USD
13,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17171.26000000001,-0.47,USD
14,2023-01-03,POS PURCHASE SAV PUR RF#010623 FRIGORIFICO JMR 65 DISTRITO CAPI VE 123122 6380,17450.68000000002,-6.56,USD
15,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17171.84000000001,-0.06,USD
16,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17171.73000000001,-0.11,USD
17,2023-01-03,POS PURCHASE SAV PUR RF#748732 REPRESENTACIONES S A DISTRITO CAPI VE 123122 6380,17438.660000000018,-12.02,USD
18,2023-01-03,POS PURCHASE SAV PUR RF#458831 ABASTO CARNICERIA L CCS NOROESTE VE 123122 6380,17337.200000000015,-49.08,USD
19,2023-01-03,POS PURCHASE SAV PUR RF#150359 ABASTO CARNICERIA L CCS NOROESTE VE 123122 6380,17288.120000000014,-49.08,USD
20,2023-01-03,POS PURCHASE SAV PUR RF#604856 ABASTO CARNICERIA L CCS NOROESTE VE 123122 6380,17239.04000000001,-49.08,USD
21,2023-01-03,POS PURCHASE SAV PUR RF#681333 YOLIMAR LA GUAI VE 123122 6380,17218.400000000012,-20.64,USD
22,2023-01-03,POS PURCHASE SAV PUR RF#818304 UNICASA CATIA DIST RITO CAPI VE 12312 2 6380,17386.280000000017,-52.38,USD
23,2023-01-03,POS PURCHASE SAV PUR RF#006834 YOLIMAR LA GUAI VE 123122 6380,17172.310000000012,-20.64,USD
24,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17172.27000000001,-0.04,USD
25,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17172.07000000001,-0.2,USD
26,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17172.04000000001,-0.03,USD
27,2023-01-03,FEE INTERNATIONAL SERV ICE CHARGE,17171.900000000012,-0.14,USD
28,2023-01-03,POS PURCHASE SAV PUR RF#979418 I E R E CARACAS VE 123122 6380,17192.95000000001,-25.45,USD
29,2023-01-04,POS PURCHASE SAV PUR RF#265566 PAND Y PAST FLOR D E CCS NOROESTE VE 010323 6380,17158.35000000002,-10.55,USD
30,2023-01-04,POS PURCHASE SAV PUR RF#890975 UNICASA CATIA DIST RITO CAPI VE 01032 3 6380,17130.33000000002,-28.02,USD
31,2023-01-04,POS PURCHASE SAV PUR RF#482457 FARMACIAS SAAS DIS TRITO CAPI VE 0103 23 6380,17121.53000000002,-8.8,USD
32,2023-01-04,FEE INTERNATIONAL SERV ICE CHARGE,17121.51000000002,-0.02,USD
33,2023-01-04,FEE INTERNATIONAL SERV ICE CHARGE,17121.42000000002,-0.09,USD
34,2023-01-04,FEE INTERNATIONAL SERV ICE CHARGE,17121.17000000002,-0.25,USD
35,2023-01-04,FEE INTERNATIONAL SERV ICE CHARGE,17121.09000000002,-0.08,USD
36,2023-01-05,FEE INTERNATIONAL SERV ICE CHARGE,17067.510000000017,-0.09,USD
37,2023-01-05,FEE INTERNATIONAL SERV ICE CHARGE,17067.620000000017,-0.39,USD
