,FECHA,DESCRIPCION,CREDIT/DEBIT,SALDO,MES
14,2025-01-25,COMPRA EN  SUPERMERCA,-92107.0,0.0,2025-01
13,2025-01-26,COMPRA EN  SUPERMERCA,-117483.0,0.0,2025-01
12,2025-01-26,ABONO INTERESES AHORROS,31.32,0.0,2025-01
8,2025-01-27,PAGO SUC VIRT TC MASTER PESOS,-54100.0,0.0,2025-01
7,2025-01-27,PAGO APP ALCANOS DE COLOMBIA,-35860.0,0.0,2025-01
10,2025-01-27,ABONO INTERESES AHORROS,31.15,0.0,2025-01
11,2025-01-27,PAGO IBAL S.A. ESP,-36700.0,0.0,2025-01
9,2025-01-27,COMPRA EN  DROGUERIA,-83000.0,0.0,2025-01
6,2025-01-29,PAGO SUC VIRT TC MASTER PESOS,-18900.0,0.0,2025-01
5,2025-01-29,ABONO INTERESES AHORROS,61.74,0.0,2025-01
4,2025-01-29,COMPRA EN  SUPERMERCA,-138334.0,0.0,2025-01
3,2025-01-29,PAGO PSE MOVII SA,-200000.0,0.0,2025-01
2,2025-01-30,RETIRO CAJERO,-1000000.0,0.0,2025-01
1,2025-01-30,PAGO DE NOMI UNIV DE IBAGUE,4796629.0,0.0,2025-01
0,2025-01-30,COMPRA EN SUPERMERCADO POPULAR,-50790.0,0.0,2025-01
