Transaction Date,Transaction Time,Time Zone,Transaction ID,Description,Credit Amount,Debit Amount,Currency,Transfer Amount,Transfer Amount Currency,Status,Running Balance,Additional Description,Store Name,Source,Target,Reference ID
03/23/2026,14:25:28,UTC,981677236,Card charge (HOMECENTER),,21.75,USD,,,Completed,19.17,,,USD balance,HOMECENTER,
03/21/2026,20:15:26,UTC,981180342,Card charge (JUMBO EL VERGEL),,26.29,USD,,,Completed,40.92,,,USD balance,JUMBO EL VERGEL,
03/19/2026,14:42:49,UTC,980572063,Card charge (MEDIAS WB),,23.28,USD,,,Completed,67.21,,,USD balance,MEDIAS WB,
03/19/2026,14:42:48,UTC,980571976,Card charge (SUPERTIENDA OLIMPICA 3),,22.44,USD,,,Completed,90.49,,,USD balance,SUPERTIENDA OLIMPICA 3,
03/19/2026,14:42:48,UTC,980572054,Card charge (PWSCCO*BBC ACQUA),,21.04,USD,,,Completed,112.93,,,USD balance,PWSCCO*BBC ACQUA,
03/19/2026,14:42:48,UTC,980572029,Card charge (DECATHLON ISLA ESTACIO),,18.80,USD,,,Completed,133.97,,,USD balance,DECATHLON ISLA ESTACIO,
03/16/2026,21:16:09,UTC,4366185460237564,Annual account fee,,29.95,USD,,,Completed,152.77,Annual Account Fee,,USD balance,Payoneer,
03/16/2026,15:24:57,UTC,979708418,Card charge (JUMBO EL VERGEL),,35.15,USD,,,Completed,182.72,,,USD balance,JUMBO EL VERGEL,
03/14/2026,09:20:55,UTC,979107736,Card charge (METRO IBAGUE CALLE 19),,51.06,USD,,,Completed,217.87,,,USD balance,METRO IBAGUE CALLE 19,
03/13/2026,09:28:59,UTC,978850495,Card charge (JUMBO EL VERGEL),,11.40,USD,,,Completed,268.93,,,USD balance,JUMBO EL VERGEL,
03/11/2026,02:56:50,UTC,978201566,Card charge (ITEP LATAM),91.64,,USD,,,Completed,280.33,,,USD balance,ITEP LATAM,
03/10/2026,09:01:09,UTC,977986616,Card charge (FALABELLA TDA DPTO ACQ),,125.57,USD,,,Completed,188.69,,,USD balance,FALABELLA TDA DPTO ACQ,
03/08/2026,08:13:44,UTC,977405446,Card charge (JUMBO EL VERGEL),,34.78,USD,,,Completed,314.26,,,USD balance,JUMBO EL VERGEL,
03/08/2026,01:25:59,UTC,977328602,Card charge (ITEP LATAM),,98.96,USD,,,Completed,349.04,,,USD balance,ITEP LATAM,
03/01/2026,09:13:46,UTC,975312338,Card charge (SUPERMERCADO MERCACENT),,65.27,USD,,,Completed,448.00,,,USD balance,SUPERMERCADO MERCACENT,
03/01/2026,09:13:46,UTC,975312381,Card charge (JUMBO EL VERGEL),,41.24,USD,,,Completed,513.27,,,USD balance,JUMBO EL VERGEL,
